Id;Titulo;Consola;America;Europa;Japon;Otro
1;Agile Warrior F-111X;PlayStation;2,37;2,3;1,04;2,49
2;Drome Racers;GameBoy Color;2,17;0,18;1,79;2,85
3;Dragon Force;Sega Saturn;2,28;2,08;1,8;0,17
4;Raze's Hell;XBox;3,24;2,12;2;0,2
5;Monster Force;GameBoy Advance;1,2;3,24;2,02;1,83
6;Breath of Fire II;Super Nintendo;2,29;2,31;3,47;0,38
7;MotoGP 15;PlayStation 4;2,1;2,9;1,78;2,38
8;World of Zoo;Nintendo DS;0,73;1,37;1,85;2,36
9;Chessmaster;XBox;1,47;2,36;2,44;0,43
10;Superman: Shadow of Apokolips;GameBoy Color;3,16;0,13;2,23;2
11;Fallout 4;XBox One;0,36;2,69;2,44;2,41
12;Red Faction II;GameBoy Color;1,74;0,02;2,07;2,13
13;Harvest Moon: Another Wonderful Life;GameBoy Color;1,75;1,11;1,57;1,94
14;International Superstar Soccer Deluxe;Super Nintendo;1,67;2,18;2,4;1,34
15;Call of Duty 2;XBox 360;2,5;1,9;1,55;1,51
16;Super Mario Galaxy 2;Nintendo Wii;2,35;2,72;1,97;1,63
17;Tennis no Oji-Sama: Driving Smash! Side King;Nintendo DS;0,45;2,01;2,04;1,18
18;GOTHA: Ismailia Seneki;Sega Saturn;1,87;1,66;2,41;0,01
19;Arslan: The Warriors of Legend;PlayStation 4;2,38;2,35;1,25;2,43
20;UFC Undisputed 3;XBox 360;2,41;1,95;2,33;2,26
21;The Wild Thornberrys Movie;GameBoy Advance;2,29;1,53;1,7;1,94
22;Ninokuni: Shikkoku no Madoushi;Nintendo DS;1,05;1,53;2,36;1,89
23;Dragon Warrior;Nintendo;3,1;3,73;0,04;0,24
24;Tom Clancy's Rainbow Six: Siege;XBox One;0,06;2,4;1,53;1,85
25;Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS;Nintendo DS;0,17;1,96;1,64;1,44
26;Tom Clancy's Ghost Recon;GameBoy Color;1,77;0,54;2,36;2,41
27;Dragon Ball: XenoVerse;PlayStation 4;2,65;2,35;2,64;1,56
28;Dementium II;Nintendo DS;0,79;1,46;2,37;2,74
29;From Russia With Love;GameBoy Color;3,75;0,05;1,62;2,53
30;Sushi Academy;Nintendo DS;0,09;1,24;1,8;2,31
31;Discovery Kids: Kitten Corner;Nintendo DS;0,18;2,31;2,27;1,12
32;Doko Demo Issyo;PlayStation;1,45;1,91;0,24;1,85
33;Rayman: Hoodlum's Revenge;GameBoy Advance;0,92;1,29;3,22;2,11
34;X-Men Legends;XBox;1,87;1,97;2,87;0,19
35;Princess Maker: Yumemiru Yosei;PlayStation;2,3;1,42;0,21;2,18
36;Rapala's Fishing Frenzy;Nintendo Wii;1,75;2,03;2,44;1,96
37;Blazing Angels: Squadrons of WWII;XBox;2,28;1,39;2,91;0,16
38;NCAA Football 2004;GameBoy Color;1,26;0,06;2,12;2,01
