"";"Matriculado";"Sexo";"Tipo";"Region";"Egreso";"Nem";"Ranking";"Matematicas";"Lenguaje"
"1";0;0;1;"Metropolitana";2023;560;560;585;582
"2";1;0;0;"Coquimbo";2023;613;613;549;600
"3";1;1;0;"Metropolitana";2022;886;965;600;0
"4";0;0;1;"Los Rios";2023;560;560;0;0
"5";1;0;0;"Araucania";2022;870;954;513;0
"6";1;1;0;"Coquimbo";2022;551;551;593;584
"7";1;0;0;"Nuble";2022;808;816;917;591
"8";0;0;0;"Metropolitana";2023;694;702;489;620
"9";0;0;0;"Nuble";2021;463;466;0;0
"10";0;0;1;"Araucania";2023;497;497;436;317
"11";1;1;0;"Araucania";2023;742;745;436;489
"12";1;0;0;"Metropolitana";2023;650;650;731;625
"13";1;1;0;"Metropolitana";2022;842;868;844;799
"14";0;1;0;"Valparaiso";2023;956;965;576;651
"15";1;0;0;"Valparaiso";2023;757;760;593;611
"16";1;1;1;"Metropolitana";2023;937;980;642;611
"17";0;0;0;"Metropolitana";2023;823;841;628;759
"18";1;0;0;"Metropolitana";2023;814;814;897;833
"19";0;0;0;"Los Rios";2023;632;642;0;0
"20";0;1;1;"Araucania";2019;658;666;593;573
"21";1;1;0;"Araucania";2022;657;658;436;534
"22";0;0;0;"Valparaiso";2023;727;740;403;510
"23";1;0;0;"Metropolitana";2022;463;463;705;576
"24";1;1;0;"Coquimbo";2023;713;713;575;837
"25";1;1;0;"Los Lagos";2014;493;493;0;519
"26";1;1;1;"Metropolitana";2023;808;855;599;600
"27";1;1;0;"Biobio";2022;951;964;628;597
"28";1;1;0;"Biobio";2023;551;552;523;500
"29";0;0;0;"Metropolitana";2023;542;542;489;463
"30";0;0;0;"Biobio";2023;736;737;917;726
"31";1;1;0;"Valparaiso";2022;751;936;593;563
"32";0;0;0;"Los Lagos";2023;757;779;513;540
"33";1;0;0;"Metropolitana";2023;594;594;535;519
"34";0;1;1;"Araucania";2023;743;760;0;0
"35";1;1;0;"Los Lagos";2022;814;830;731;620
"36";0;1;1;"Metropolitana";2023;637;659;0;0
"37";0;1;0;"Antofagasta";2023;808;815;688;699
"38";1;1;0;"Metropolitana";2023;922;988;696;699
"39";0;0;0;"Metropolitana";2022;580;580;731;656
"40";0;0;1;"Metropolitana";2020;299;320;705;699
"41";0;0;1;"Metropolitana";2023;523;525;489;563
"42";0;0;0;"Coquimbo";2023;441;441;424;573
"43";1;1;1;"Metropolitana";2023;667;704;450;567
"44";1;1;0;"Valparaiso";2023;694;706;717;754
"45";0;0;0;"Metropolitana";2023;613;613;575;636
"46";0;1;0;"Maule";2023;886;892;576;641
"47";0;1;1;"Metropolitana";2023;644;716;465;591
"48";0;0;0;"Metropolitana";2023;409;409;575;607
"49";1;1;0;"Metropolitana";2022;900;931;785;759
"50";1;0;0;"Arica";2023;837;843;844;656
"51";0;0;0;"Nuble";2022;479;479;679;799
"52";1;0;0;"Metropolitana";2019;708;708;696;0
"53";1;1;0;"Metropolitana";2023;865;869;746;726
"54";1;0;1;"Maule";2023;497;497;593;549
"55";0;0;0;"Metropolitana";2022;851;857;879;854
"56";1;0;0;"Valparaiso";2023;771;777;657;620
"57";0;1;0;"Araucania";2023;922;944;797;774
"58";1;0;0;"Metropolitana";2023;432;432;705;611
"59";0;1;1;"Metropolitana";2023;900;936;0;636
"60";1;1;0;"Tarapaca";2020;699;695;563;625
"61";0;1;1;"Araucania";2023;433;433;465;418
"62";1;1;0;"Metropolitana";2022;713;734;505;641
"63";1;0;0;"Metropolitana";2023;900;988;498;473
"64";1;1;0;"Metropolitana";2023;893;903;746;770
"65";0;1;0;"Coquimbo";2023;519;519;403;378
"66";0;1;0;"Los Lagos";2023;727;835;403;438
"67";0;1;1;"Tarapaca";2023;506;506;513;625
"68";0;1;1;"Metropolitana";2020;587;604;535;534
"69";0;1;1;"Biobio";2023;724;762;392;476
"70";0;0;0;"Metropolitana";2023;594;594;523;481
"71";1;1;0;"Metropolitana";2022;793;830;607;620
"72";0;0;0;"Valparaiso";2023;536;536;413;423
"73";1;1;0;"Metropolitana";2022;828;837;607;721
"74";1;1;0;"Coquimbo";2023;856;1000;628;656
"75";1;1;0;"Valparaiso";2021;742;751;0;0
"76";1;0;0;"Nuble";2023;814;817;879;510
"77";0;0;0;"Metropolitana";2023;814;818;575;696
"78";0;0;0;"Aysen";2020;664;778;628;721
"79";1;0;0;"Magallanes";2023;779;807;575;651
"80";1;0;1;"OHiggins";2023;815;837;599;584
"81";1;1;0;"Metropolitana";2023;699;704;523;597
"82";0;0;0;"Los Rios";2023;657;657;436;394
"83";1;1;0;"Los Rios";2017;742;742;746;819
"84";1;1;0;"Biobio";2023;879;908;628;665
"85";0;0;0;"Antofagasta";2023;594;594;746;819
"86";0;0;0;"OHiggins";2023;531;547;413;378
"87";1;1;0;"Nuble";2022;526;526;563;738
"88";1;0;0;"Biobio";2023;942;981;785;721
"89";0;0;0;"OHiggins";2023;510;510;465;463
"90";1;1;0;"Metropolitana";2023;922;979;696;788
"91";0;0;1;"Valparaiso";2023;513;513;523;567
"92";0;1;0;"Aysen";2023;685;694;403;418
"93";1;0;0;"Valparaiso";2021;643;658;705;676
"94";0;1;0;"Metropolitana";2023;542;542;599;707
"95";0;1;1;"Los Lagos";2023;738;859;549;540
"96";0;0;0;"Valparaiso";2021;907;923;827;742
"97";0;0;1;"Los Rios";2023;637;645;0;0
"98";1;0;0;"Araucania";2023;751;773;599;600
"99";0;1;0;"Metropolitana";2023;742;747;498;534
"100";0;0;0;"Metropolitana";2023;657;663;563;582
"101";0;0;1;"Araucania";2019;385;387;498;549
"102";1;0;0;"OHiggins";2023;886;897;861;721
"103";1;1;0;"Metropolitana";2023;727;729;523;534
"104";1;1;0;"Coquimbo";2020;713;719;505;799
"105";1;1;1;"Biobio";2023;794;828;465;567
"106";0;0;1;"Nuble";2023;402;402;465;409
"107";1;0;0;"Maule";2023;736;736;593;582
"108";1;1;0;"Metropolitana";2022;671;727;489;563
"109";0;1;0;"Araucania";2023;628;628;0;0
"110";0;0;0;"Valparaiso";2023;671;671;465;338
"111";1;1;0;"Maule";2022;757;757;513;679
"112";1;0;0;"Maule";2023;900;921;505;584
"113";1;0;1;"Atacama";2023;823;895;669;641
"114";1;0;0;"Araucania";2021;536;536;616;770
"115";0;1;0;"Coquimbo";2023;680;716;513;500
"116";0;1;1;"Metropolitana";2023;637;638;513;423
"117";0;1;0;"Maule";2020;558;558;523;582
"118";1;1;0;"OHiggins";2022;722;835;593;489
"119";1;0;0;"Metropolitana";2023;865;911;489;696
"120";0;0;1;"Valparaiso";2023;560;562;0;500
"121";1;0;0;"Magallanes";2023;886;914;844;742
"122";0;0;0;"Biobio";2023;685;685;0;0
"123";1;1;1;"Metropolitana";2023;801;840;628;651
"124";0;1;0;"Coquimbo";2004;367;367;478;438
"125";0;1;0;"Metropolitana";2023;461;461;0;0
"126";1;0;0;"Valparaiso";2023;943;949;939;770
"127";1;1;0;"Metropolitana";2023;680;704;576;524
"128";0;0;0;"Metropolitana";2022;808;858;0;0
"129";0;0;0;"Metropolitana";2023;586;592;513;489
"130";1;1;0;"Metropolitana";2021;727;765;0;0
"131";0;0;0;"Metropolitana";2023;751;768;489;466
"132";0;1;1;"Valparaiso";2023;644;661;465;385
"133";0;0;1;"Maule";2023;752;791;0;0
"134";0;0;0;"Metropolitana";2022;664;664;576;707
"135";0;1;1;"Biobio";2022;644;644;465;534
"136";1;0;1;"Los Lagos";2023;672;688;688;721
"137";1;1;1;"Metropolitana";2022;823;879;599;721
"138";1;0;0;"Valparaiso";2023;671;671;746;636
"139";1;1;0;"Metropolitana";2021;661;661;505;656
"140";0;1;0;"Coquimbo";2023;599;599;424;367
"141";1;1;0;"Biobio";2021;781;807;0;0
"142";1;1;0;"Biobio";2023;856;885;746;676
"143";1;0;0;"OHiggins";2023;886;894;607;711
"144";0;1;1;"Metropolitana";2023;658;659;498;524
"145";1;1;0;"Metropolitana";2022;886;939;705;738
"146";0;0;0;"Biobio";2023;451;451;0;0
"147";0;0;0;"Metropolitana";2023;856;889;1000;802
"148";0;1;1;"Maule";2021;433;438;0;0
"149";0;1;0;"Los Lagos";2023;799;813;0;0
"150";1;1;0;"Metropolitana";2022;727;727;607;597
"151";1;1;0;"Araucania";2022;886;924;773;0
"152";0;1;0;"Metropolitana";2023;942;1000;761;696
"153";1;1;0;"Coquimbo";2023;751;765;669;686
"154";1;0;0;"Metropolitana";2023;757;780;879;738
"155";0;0;1;"Metropolitana";2023;481;481;489;496
"156";1;1;1;"Los Lagos";2023;808;848;489;591
"157";1;1;0;"Coquimbo";2023;870;916;696;721
"158";0;0;1;"Maule";2022;523;523;575;434
"159";1;0;0;"Biobio";2022;893;985;811;711
"160";1;0;0;"Valparaiso";2023;828;858;897;689
"161";1;0;0;"Maule";2022;742;816;575;573
"162";1;0;0;"Metropolitana";2023;771;780;939;784
"163";1;0;0;"Metropolitana";2023;751;751;680;641
"164";0;0;1;"Tarapaca";2022;695;702;585;567
"165";1;1;0;"Valparaiso";2023;837;869;642;625
"166";1;0;0;"Antofagasta";2023;572;574;450;591
"167";0;1;0;"Los Lagos";2022;793;849;549;534
"168";0;1;0;"Los Rios";2023;942;989;746;567
"169";0;0;0;"OHiggins";2013;657;657;0;819
"170";0;0;0;"Los Lagos";2023;799;826;657;676
"171";0;1;0;"Antofagasta";2023;727;727;0;0
"172";0;1;0;"Valparaiso";2023;387;387;505;321
"173";0;0;0;"Metropolitana";2023;970;981;939;947
"174";0;0;0;"Maule";2023;346;346;489;466
"175";0;1;0;"Metropolitana";2023;664;673;498;641
"176";1;0;0;"Metropolitana";2023;771;793;827;854
"177";0;0;1;"Valparaiso";2023;979;1000;669;759
"178";1;0;1;"Nuble";2023;752;778;523;554
"179";0;0;0;"Nuble";2023;937;941;669;699
"180";1;1;0;"Metropolitana";2020;799;842;696;711
"181";0;0;0;"Metropolitana";2023;542;542;505;481
"182";0;1;1;"Valparaiso";2023;582;628;392;567
"183";1;0;0;"Araucania";2023;771;777;746;754
"184";1;0;1;"Coquimbo";2022;700;714;616;0
"185";0;1;0;"Valparaiso";2023;536;536;549;711
"186";0;0;0;"Magallanes";2023;727;748;761;707
"187";0;0;1;"Los Lagos";2023;529;533;478;0
"188";0;1;0;"Metropolitana";2021;751;779;844;686
"189";0;0;0;"Maule";2023;586;586;599;506
"190";0;0;0;"Maule";2023;808;833;505;597
"191";0;1;0;"Valparaiso";2023;409;409;535;466
"192";0;1;1;"Metropolitana";2005;402;402;0;510
"193";1;1;0;"Valparaiso";2023;994;1000;679;707
"194";0;0;0;"Coquimbo";2023;779;786;450;388
"195";0;1;1;"Nuble";2023;667;667;450;405
"196";1;1;0;"Valparaiso";2018;536;536;549;506
"197";1;1;0;"Coquimbo";2023;722;753;535;524
"198";1;0;0;"Aysen";2023;771;771;811;742
"199";0;0;0;"Coquimbo";2023;870;894;917;738
"200";0;1;1;"Valparaiso";2023;0;0;436;350
"201";1;1;0;"Arica";2023;727;745;688;699
"202";1;1;0;"Biobio";2023;799;808;436;519
"203";1;0;0;"Metropolitana";2022;685;709;897;689
"204";0;1;0;"Valparaiso";2022;657;657;523;665
"205";1;1;1;"Metropolitana";2020;752;820;696;726
"206";0;1;0;"Metropolitana";2023;397;419;0;0
"207";1;0;0;"Maule";2023;922;927;746;726
"208";0;1;0;"Magallanes";2023;680;680;424;554
"209";1;1;0;"Antofagasta";2023;851;874;498;833
"210";0;0;1;"Metropolitana";2022;396;396;478;496
"211";1;0;0;"Araucania";2021;951;972;897;0
"212";0;1;0;"Valparaiso";2023;742;761;563;476
"213";1;0;0;"Antofagasta";2022;650;662;498;409
"214";1;0;0;"Biobio";2022;736;736;761;726
"215";1;0;0;"Maule";2023;558;559;705;726
"216";0;0;0;"Coquimbo";2023;400;400;0;0
"217";1;0;1;"Los Lagos";2023;801;866;600;686
"218";0;0;0;"Maule";2023;613;617;642;540
"219";0;0;0;"Valparaiso";2023;0;0;0;0
"220";0;1;0;"Metropolitana";2023;708;726;696;576
"221";0;0;0;"Biobio";2019;870;884;0;0
"222";1;1;0;"Metropolitana";2023;886;915;696;607
"223";1;1;0;"Antofagasta";2022;708;711;450;573
"224";1;1;0;"Metropolitana";2021;779;802;785;815
"225";1;0;0;"Biobio";2023;851;868;563;524
"226";1;1;1;"Tarapaca";2023;672;704;413;491
"227";0;1;0;"Maule";2023;951;963;827;742
"228";1;0;0;"Metropolitana";2022;536;536;563;689
"229";0;1;1;"Maule";2023;623;623;563;489
"230";0;0;0;"Araucania";2023;488;488;549;394
"231";1;1;0;"Metropolitana";2022;879;904;576;788
"232";0;1;0;"Biobio";2023;628;628;585;549
"233";1;1;0;"Metropolitana";2021;680;699;505;759
"234";1;0;0;"Los Lagos";2022;488;502;549;584
"235";0;0;0;"Metropolitana";2023;671;671;607;423
"236";1;0;0;"Araucania";2021;671;670;642;567
"237";0;1;0;"Nuble";2023;879;897;535;651
"238";1;1;0;"Los Lagos";2023;793;828;498;759
"239";0;0;1;"Los Lagos";2023;418;418;0;0
"240";1;0;0;"Antofagasta";2011;742;767;1000;878
"241";0;0;0;"Valparaiso";2023;751;754;478;600
"242";0;1;0;"Valparaiso";2021;409;414;523;584
"243";1;0;0;"Maule";2022;542;542;731;573
"244";0;0;1;"Biobio";2023;560;560;436;385
"245";1;1;1;"Metropolitana";2023;695;733;607;656
"246";1;0;0;"Los Lagos";2023;771;776;616;591
"247";1;1;1;"Araucania";2023;601;602;498;519
"248";1;1;0;"Metropolitana";2023;879;883;990;874
"249";0;0;0;"Metropolitana";2023;685;685;549;611
"250";1;1;0;"Antofagasta";2023;722;734;628;607
"251";1;1;0;"Valparaiso";2023;774;789;642;563
"252";0;1;0;"Biobio";2023;542;542;498;476
"253";0;0;1;"Coquimbo";2023;560;560;0;0
"254";1;1;0;"Valparaiso";2023;572;572;513;473
"255";1;1;0;"Metropolitana";2023;951;990;844;784
"256";0;0;0;"Valparaiso";2023;622;622;616;696
"257";0;0;0;"Valparaiso";2017;510;510;0;0
"258";1;0;0;"Metropolitana";2023;907;982;746;625
